#=================================================================
# General info
# Report suite: Scotiabank Prod
"# Date: Oct 24, 2021 - Oct 30, 2021"
#=================================================================


##############################################
# iTrade
##############################################
Official Project Launch day:  Friday 6th August 2021
URL: https://www.scotiaitrade.com/en/home.html
Jira ticket : https://jira.agile.bns/browse/AADF-3107


##############################################
# How to use this Dashboard ?
##############################################
1 This dashboard is divided into multiple panels. All the panels are collapsed to increase the performance when dashboard loads.
"2 To Expand each panel, please look for an ""Left"" arrow next to ""X"" button and click on it."

"Please feel free to make changes to the dashboard, you can save your changes as your own copy. This dashboard will not be affected."
	To save your own copy follow these steps
Click on Project on the top
Click on Save as
Give appropriate name and save.
It will be saved in Workspace section under you profile. you can share your save dashboard too. Just click on share button above.


##############################################
# Read Me to understand more about the Metrics used for analytics
##############################################
Page Views:  Number of time page was loaded.
"Visits: A visit is defined as a sequence of consecutive page views without a 30-minute break, or continuous activity for 12 hours."
"Unique visitor: A unique visitor refers to a visitor who visits a site for the first time within a 2 years period. If visitor clears browser cookies or does not allow cookies, unique visitor count will be incremented every time when page is visited."
"Occurrences: The number of times a specific value is captured, plus the number of page views for which the given value persisted. In other words, Occurrences are sum of page views and page events. Occurrences are available in Analysis Workspace and in Ad Hoc Analysis."
"Bounces: If a visit consists of exactly one hit (ex: coming to web page and leaving without any further action) , the hit is considered a bounce."
Entries: the number of times a given dimension item is captured as the first value in a visit. This metric is helpful when you want to understand more about the first impressions visitors have on your site. Seeing the first values of a dimension can help you understand and optimize the experience a new visitor gets
Bounce Rate (Bounces/Entries): the ratio of visits that contained exactly one hit compared to the number of visits on that page. This metric is calculated using the formula Bounces divided by Entries.
Exits: The 'Exits' metric shows the number of times a given dimension item is captured as the last value in a visit.
Exit Rate: The percentage of traffic to a page for whom that was the last page or piece of content. This metric is calculate using formula Exits divided by Visits


#=================================================================
# iTrade Dashboard - EN
# Report suite: Scotiabank Global
"# Date: Oct 24, 2021 - Oct 30, 2021"
"# Segments: iTrade Hits, en"
# URL: https://www.scotiaitrade.com/en/home.html
# Jira ticket : https://jira.agile.bns/browse/AADF-3107
#=================================================================


##############################################
# Pages Visited
##############################################
,Page Views,Visits,Unique Visitors,Time Spent per Visit (seconds)
Page,62902,44446,25887,132.5717824967825
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®,35217,30497,15746,72.00189503172118
SB:en:itrade:Open a trading/investment account online | Scotia iTRADE®,5100,4078,3382,93.48790078644888
SB:en:itrade:Scotia iTRADE® forms library - find all forms here,2524,2104,1383,335.52451539338654
SB:en:itrade:Scotia iTRADE® U - Free Tools & Educational Resources,1658,1535,1392,92.70229007633588
SB:en:itrade:Competitive pricing | Scotia iTRADE,1394,1260,1085,242.83742331288343
SB:en:itrade:Open a practice trading account online | Scotia iTRADE®,992,763,656,180.14004914004914
SB:en:itrade:How to use Scotia iTRADE? | Scotia iTRADE,964,756,718,106.76241134751773
SB:en:itrade:iTRADE how-to videos | Scotia iTRADE®,934,881,836,213.792
SB:en:itrade:Scotia iTRADE® Trading Desk™ - one page trading console,923,819,373,68.0952380952381
SB:en:itrade:Contact us - customer support | Scotia iTRADE®,897,838,713,289.98397435897436


##############################################
# URLs Visited
##############################################
,Page Views,Visits,Unique Visitors
Page URL (c19),62471,45948,26012
https://www.scotiaitrade.com/en/home.html,32244,29286,13783
https://www.scotiaitrade.com/en/home/open-trading-account.html,4982,4053,3306
https://www.scotiaitrade.com/en/home/learning-centre/forms-library.html,2510,2584,1541
https://www.scotiaitrade.com/en/home.html?cid=vd_bns_SlTgwPXYbXB1ZgFflcm7e6dmFjFzFkAHJPvgK72n&dclid=,1979,1823,1629
https://www.scotiaitrade.com/en/home/pricing-fees.html,1379,1321,1095
https://www.scotiaitrade.com/en/home/why-itrade/powerful-platforms/scotia-itrade-trading-desk.html,910,869,370
https://www.scotiaitrade.com/en/home/contact-us.html,892,851,713
https://www.scotiaitrade.com/en/home/open-practice-trading-acccount.html,984,775,662
https://www.scotiaitrade.com/en/home/where-to-start.html,955,751,712
https://www.scotiaitrade.com/en/home/learning-centre.html,645,578,466


##############################################
# Key CTAs Clicked
##############################################
,Occurrences,Visits,Unique Visitors
Custom Link (c65),43128,30243,14531
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®:page top CTA:Sign in,26289,22296,9128
SB:en:itrade:Open a trading/investment account online | Scotia iTRADE®:start-application-CTA,1978,1594,1459
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®:page top CTA:Open an ac,1560,1406,1318
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®:nav-btn:Accounts,1144,964,780
SB:en:itrade:Scotia iTRADE® Trading Desk™ - one page trading console:page top CTA:Sign in,926,772,308
SB:en:itrade:Open a trading/investment account online | Scotia iTRADE®:page middle CTA:Learn more a,892,758,721
SB:en:itrade:Open a trading/investment account online | Scotia iTRADE®:page top CTA:Sign in,895,690,394
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®:page top CTA:Learn how,352,343,341
Internal Search,462,320,296
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®:nav-btn:Investments,360,317,304


##############################################
# Device Breakdown (Other = Desktop*)
##############################################
,Visits
Mobile Device Type,45951
Other,30080
Mobile Phone,14100
Tablet,1764
Gaming Console,4
Media Player,2
Set-top Box,1


##############################################
# Entries and Bounce Rate
##############################################
,Entries,Bounce Rate
Page,45289,0.2502815253151979
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®,28327,0.15352843576799519
phoenix:Login,2133,0
SB:en:itrade:Open a trading/investment account online | Scotia iTRADE®,1768,0.27771493212669685
SB:en:itrade:Scotia iTRADE® U - Free Tools & Educational Resources,1331,0.8241923365890308
SB:en:itrade:Scotia iTRADE® forms library - find all forms here,947,0.20591341077085534
SB:en:itrade:iTRADE how-to videos | Scotia iTRADE®,805,0.9130434782608695
SB:en:itrade:Scotia iTRADE® Trading Desk™ - one page trading console,754,0.05968169761273209
BNS Home page en,653,0
"SB:en:itrade:The knowledge navigator, learn about investing | Scotia iTRADE®",635,0.9228346456692913
SB:en:itrade:Competitive pricing | Scotia iTRADE,559,0.5724508050089445


##############################################
# Marketing Channel Breakdown
##############################################
,Entries,Visits,Bounce Rate
Marketing Channel,45951,45951,0.2588627015734152
Natural Search,19026,19876,0.19546935772101334
Direct,11110,10920,0.2324032403240324
