#=================================================================
# General info
# Report suite: Scotiabank Prod
"# Date: Mar 20, 2022 - Mar 26, 2022"
#=================================================================


##############################################
# iTrade
##############################################
Official Project Launch day:  Friday 6th August 2021
URL: https://www.scotiaitrade.com/en/home.html
Jira ticket : https://jira.agile.bns/browse/AADF-3107


##############################################
# How to use this Dashboard ?
##############################################
1 This dashboard is divided into multiple panels. All the panels are collapsed to increase the performance when dashboard loads.
"2 To Expand each panel, please look for an ""Left"" arrow next to ""X"" button and click on it."

"Please feel free to make changes to the dashboard, you can save your changes as your own copy. This dashboard will not be affected."
	To save your own copy follow these steps
Click on Project on the top
Click on Save as
Give appropriate name and save.
It will be saved in Workspace section under you profile. you can share your save dashboard too. Just click on share button above.


##############################################
# Read Me to understand more about the Metrics used for analytics
##############################################
Page Views:  Number of time page was loaded.
"Visits: A visit is defined as a sequence of consecutive page views without a 30-minute break, or continuous activity for 12 hours."
"Unique visitor: A unique visitor refers to a visitor who visits a site for the first time within a 2 years period. If visitor clears browser cookies or does not allow cookies, unique visitor count will be incremented every time when page is visited."
"Occurrences: The number of times a specific value is captured, plus the number of page views for which the given value persisted. In other words, Occurrences are sum of page views and page events. Occurrences are available in Analysis Workspace and in Ad Hoc Analysis."
"Bounces: If a visit consists of exactly one hit (ex: coming to web page and leaving without any further action) , the hit is considered a bounce."
Entries: the number of times a given dimension item is captured as the first value in a visit. This metric is helpful when you want to understand more about the first impressions visitors have on your site. Seeing the first values of a dimension can help you understand and optimize the experience a new visitor gets
Bounce Rate (Bounces/Entries): the ratio of visits that contained exactly one hit compared to the number of visits on that page. This metric is calculated using the formula Bounces divided by Entries.
Exits: The 'Exits' metric shows the number of times a given dimension item is captured as the last value in a visit.
Exit Rate: The percentage of traffic to a page for whom that was the last page or piece of content. This metric is calculate using formula Exits divided by Visits


#=================================================================
# iTrade Dashboard - EN
# Report suite: Scotiabank Global
"# Date: Mar 20, 2022 - Mar 26, 2022"
"# Segments: iTrade Hits, en"
# URL: https://www.scotiaitrade.com/en/home.html
# Jira ticket : https://jira.agile.bns/browse/AADF-3107
#=================================================================


##############################################
# Pages Visited
##############################################
,Page Views,Visits,Unique Visitors,Time Spent per Visit (seconds)
Page,60917,43502,25520,122.5101949647404
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®,25730,22495,10643,69.10652655437079
SB:en:itrade:Winter Offer | Scotia iTRADE®,11458,10393,7902,59.714356929212364
SB:en:itrade:Open a trading/investment account online | Scotia iTRADE®,3369,2694,2279,99.71501128668172
SB:en:itrade:Scotia iTRADE® forms library - find all forms here,2478,2021,1367,304.89809699201965
SB:en:itrade:Winter Offer - Triage,1207,962,863,67.84288990825688
SB:en:itrade:Competitive pricing | Scotia iTRADE,1091,980,834,228.4328922495274
SB:en:itrade:Winter Offer for Existing Clients | Scotia iTRADE®,977,844,713,269.4584382871536
SB:en:itrade:Contact us - customer support | Scotia iTRADE®,875,776,623,317.3943661971831
SB:en:itrade:Scotia iTRADE® Trading Desk™ - one page trading console,670,600,262,46.97206703910614
SB:en:itrade:How to use Scotia iTRADE? | Scotia iTRADE,638,496,430,120.45161290322581


##############################################
# URLs Visited
##############################################
,Page Views,Visits,Unique Visitors
Page URL (c19),60406,44691,25628
https://www.scotiaitrade.com/en/home.html,25076,23077,10538
(Low Traffic),7661,6804,4701
https://www.scotiaitrade.com/en/home/learning-centre/forms-library.html,2466,2469,1503
https://www.scotiaitrade.com/en/home/open-trading-account.html,2641,2064,1645
https://www.scotiaitrade.com/en/home/winter-offer.html?cid=S1eWINT1121-001,1694,1595,1491
https://www.scotiaitrade.com/en/home/winter-offer.html,1524,1447,1354
https://www.scotiaitrade.com/en/home/pricing-fees.html,1087,1047,863
https://www.scotiaitrade.com/en/home/winter-offer-triage.html,1205,963,862
https://www.scotiaitrade.com/en/home/contact-us.html,858,783,622
https://www.scotiaitrade.com/en/home/why-itrade/powerful-platforms/scotia-itrade-trading-desk.html,653,619,262


##############################################
# Key CTAs Clicked
##############################################
,Occurrences,Visits,Unique Visitors
Custom Link (c65),35624,25322,12371
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®:page top CTA:Sign in,21327,18191,7554
SB:en:itrade:Open a trading/investment account online | Scotia iTRADE®:start-application-CTA,942,735,669
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®:nav-btn:Accounts,823,709,556
SB:en:itrade:Scotia iTRADE® Trading Desk™ - one page trading console:page top CTA:Sign in,581,512,190
SB:en:itrade:Winter Offer | Scotia iTRADE®:page top CTA:Sign in,512,455,307
SB:en:itrade:Winter Offer - Triage:page middle CTA:New to iTrade offer details,469,438,413
SB:en:itrade:Open a trading/investment account online | Scotia iTRADE®:page top CTA:Sign in,604,422,211
SB:en:itrade:Open a trading/investment account online | Scotia iTRADE®:page middle CTA:Learn more a,489,418,405
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®:page top CTA:winter off,360,344,313
SB:en:itrade:Winter Offer - Triage:page middle CTA:Existing client offer details,362,328,293


##############################################
# Device Breakdown (Other = Desktop*)
##############################################
,Visits
Mobile Device Type,44796
Other,30522
Mobile Phone,12646
Tablet,1620
Media Player,8


##############################################
# Entries and Bounce Rate
##############################################
,Entries,Bounce Rate
Page,44172,0.2449515530200127
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®,20903,0.10500885040424819
SB:en:itrade:Winter Offer | Scotia iTRADE®,8853,0.4344290071162318
phoenix:Login,2381,0
SB:en:itrade:Open a trading/investment account online | Scotia iTRADE®,1643,0.47413268411442483
SB:en:itrade:Scotia iTRADE® forms library - find all forms here,970,0.2134020618556701
SB:en:itrade:Scotia iTRADE® Trading Desk™ - one page trading console,544,0.058823529411764705
SB:en:itrade:How are stocks taxed in Canada? | Posts,511,0.9178082191780822
SB:en:itrade:Winter Offer for Existing Clients | Scotia iTRADE®,491,0.6945010183299389
SB:en:itrade:Competitive pricing | Scotia iTRADE,398,0.5226130653266332
Personal,371,0


##############################################
# Marketing Channel Breakdown
##############################################
,Entries,Visits,Bounce Rate
Marketing Channel,44796,44796,0.2531252790427717
Natural Search,19732,20403,0.19410095276707887
Direct,11561,11328,0.2853559380676412
Referring Domains,8513,12048,0.15893339598261483
Session Refresh,1744,1702,0.36295871559633025
Other Campaigns,1709,1710,0.8443534230544177
