#=================================================================
# General info
# Report suite: Scotiabank Prod
"# Date: May 9, 2021 - May 15, 2021"
#=================================================================


##############################################
# iTrade
##############################################
Official Project Launch day:  Friday 6th August 2021
URL: https://www.scotiaitrade.com/en/home.html
Jira ticket : https://jira.agile.bns/browse/AADF-3107


##############################################
# How to use this Dashboard ?
##############################################
1 This dashboard is divided into multiple panels. All the panels are collapsed to increase the performance when dashboard loads.
"2 To Expand each panel, please look for an ""Left"" arrow next to ""X"" button and click on it."

"Please feel free to make changes to the dashboard, you can save your changes as your own copy. This dashboard will not be affected."
	To save your own copy follow these steps
Click on Project on the top
Click on Save as
Give appropriate name and save.
It will be saved in Workspace section under you profile. you can share your save dashboard too. Just click on share button above.


##############################################
# Read Me to understand more about the Metrics used for analytics
##############################################
Page Views:  Number of time page was loaded.
"Visits: A visit is defined as a sequence of consecutive page views without a 30-minute break, or continuous activity for 12 hours."
"Unique visitor: A unique visitor refers to a visitor who visits a site for the first time within a 2 years period. If visitor clears browser cookies or does not allow cookies, unique visitor count will be incremented every time when page is visited."
"Occurrences: The number of times a specific value is captured, plus the number of page views for which the given value persisted. In other words, Occurrences are sum of page views and page events. Occurrences are available in Analysis Workspace and in Ad Hoc Analysis."
"Bounces: If a visit consists of exactly one hit (ex: coming to web page and leaving without any further action) , the hit is considered a bounce."
Entries: the number of times a given dimension item is captured as the first value in a visit. This metric is helpful when you want to understand more about the first impressions visitors have on your site. Seeing the first values of a dimension can help you understand and optimize the experience a new visitor gets
Bounce Rate (Bounces/Entries): the ratio of visits that contained exactly one hit compared to the number of visits on that page. This metric is calculated using the formula Bounces divided by Entries.
Exits: The 'Exits' metric shows the number of times a given dimension item is captured as the last value in a visit.
Exit Rate: The percentage of traffic to a page for whom that was the last page or piece of content. This metric is calculate using formula Exits divided by Visits


#=================================================================
# iTrade Dashboard - EN
# Report suite: Scotiabank Global
"# Date: May 9, 2021 - May 15, 2021"
"# Segments: iTrade Hits, en"
# URL: https://www.scotiaitrade.com/en/home.html
# Jira ticket : https://jira.agile.bns/browse/AADF-3107
#=================================================================


##############################################
# Pages Visited
##############################################
,Page Views,Visits,Unique Visitors,Time Spent per Visit (seconds)
Page,69164,47448,27404,152.361277215578
SB:en:itrade:Start Direct Investing & Online Trading Today | Scotia iTRADE®,34946,30684,15570,74.79781130471738
SB:en:itrade:Open a Trading/Investment Account Online | Scotia iTRADE®,5350,4361,3458,153.12825193975354
SB:en:itrade:iTrade How-to Videos,2007,1935,1889,179.44444444444446
SB:en:itrade:Scotia iTRADE® Forms Library - Find all Forms Here,1811,1496,1005,320.17823479006
SB:en:itrade:Scotia iTRADE® Trading Desk™ - One Page Trading Console,1517,1333,657,73.81228273464659
"SB:en:itrade:Stock Trading Fees, Commissions & Interest Rates | Scotia iTRADE®",1437,1245,1108,150.26887417218543
SB:en:itrade:How To Use Scotia iTRADE? | Scotia iTRADE,1223,958,872,115.25457102672293
SB:en:itrade:Scotia iTRADE® U - Free Tools & Educational Resources,1136,1014,768,67.85775862068965
SB:en:itrade:Education Resources Library - Tools for Direct Investing | Scotia iTRADE®,1091,1018,957,184.9609375
SB:en:itrade:Contact Us - Customer Support | Scotia iTRADE®,961,887,772,357.00350877192983


##############################################
# URLs Visited
##############################################
,Page Views,Visits,Unique Visitors
Page URL (c19),69164,47833,27577
https://www.scotiaitrade.com/en/direct-investing-and-online-trading.html,28490,25072,12210
https://www.scotiaitrade.com/en/direct-investing-and-online-trading/open-an-account.html,4612,3707,3042
(Low Traffic),3240,2916,2178
https://www.scotiaitrade.com/en/direct-investing-and-online-trading/forms-library.html,1792,2032,1320
https://www.scotiaitrade.com/en/direct-investing-and-online-trading/powerful-platforms/scotia-itrade,2400,2030,1190
https://www.scotiaitrade.com/en/direct-investing-and-online-trading/how-to-videos.html?cid=fb_9ad554,1497,1459,1434
https://www.scotiaitrade.com/en/direct-investing-and-online-trading/why-scotia-itrade/how-to-make-it,2244,1369,1220
https://www.scotiaitrade.com/en/direct-investing-and-online-trading/trading-fees/commissions-and-fee,1437,1292,1153
https://www.scotiaitrade.com/en/direct-investing-and-online-trading/investment-types/registered-acco,1550,1157,1000
https://www.scotiaitrade.com/en/direct-investing-and-online-trading/education/education-resource-lib,1091,1033,967


##############################################
# Key CTAs Clicked
##############################################
,Occurrences,Visits,Unique Visitors
Custom Link (c65),653,441,390
Internal Search,578,382,335
SB:en:itrade:404 | Scotia iTRADE®:link:scotiaiTrade-homepage,22,20,19
SB:en:itrade:404 | Scotia iTRADE®:link:Sign in,10,9,9
SB:en:itrade:404 | Scotia iTRADE®:link:Open an account,7,7,7
404:404:link:Scotia iTRADE,7,7,6
Internal Search Click,5,5,5
SB:en:itrade:404 | Scotia iTRADE®:link:Investment types,5,5,5
SB:en:itrade:404 | Scotia iTRADE®:link:ScotiaiTrade-help-centre,4,4,4
SB:en:itrade:404 | Scotia iTRADE®:link:Download forms,4,3,3
SB:en:itrade:404 | Scotia iTRADE®:link:Why Scotia iTRADE,2,2,2


##############################################
# Device Breakdown (Other = Desktop*)
##############################################
,Visits
Mobile Device Type,47833
Other,32013
Mobile Phone,14120
Tablet,1687
Media Player,10
Gaming Console,2
Set-top Box,1


##############################################
# Entries and Bounce Rate
##############################################
,Entries,Bounce Rate
Page,47565,0.4385367391989908
SB:en:itrade:Start Direct Investing & Online Trading Today | Scotia iTRADE®,28251,0.4047644331174118
SB:en:itrade:Open a Trading/Investment Account Online | Scotia iTRADE®,2125,0.6056470588235294
phoenix:Login,1940,0
SB:en:itrade:iTrade How-to Videos,1914,0.9508881922675027
SB:en:itrade:Scotia iTRADE® Trading Desk™ - One Page Trading Console,1185,0.369620253164557
SB:en:itrade:Education Resources Library - Tools for Direct Investing | Scotia iTRADE®,942,0.9171974522292994
SB:en:itrade:Scotia iTRADE® U - Free Tools & Educational Resources,751,0.35419440745672437
BNS Home page en,724,0
SB:en:itrade:Scotia iTRADE® Forms Library - Find all Forms Here,712,0.3146067415730337
"SB:en:itrade:The Knowledge Navigator, Learn about Investing | Scotia iTRADE®",492,0.9247967479674797


##############################################
# Marketing Channel Breakdown
##############################################
,Entries,Visits,Bounce Rate
Marketing Channel,47833,47833,0.44017728346539
Natural Search,15838,16730,0.40005051142821063
Referring Domains,15486,19602,0.22633346248224204
Direct,9959,9802,0.6418315091876694
Paid Social Networks,2610,2610,0.9620689655172414
Paid Search,1061,1113,0.354382657869934
Session Refresh,982,957,0.4063136456211813
Display,783,780,0.8288633461047255
